iter	RMSE	MAE
2615	7939.92794	4444.66
2620	7939.88777	4444.598667
2625	7939.848426	4444.536267
2630	7939.809632	4444.4752
2635	7939.769737	4444.4144
2640	7939.729292	4444.353067
2645	7939.689396	4444.291733
2650	7939.649776	4444.230133
2655	7939.610705	4444.168267
2660	7939.57081	4444.1072
2665	7939.531739	4444.046133
2670	7939.491292	4443.985067
2675	7939.451671	4443.923733
2680	7939.412324	4443.862667
2685	7939.373528	4443.800533
2690	7939.333081	4443.739467
2695	7939.292633	4443.678933
2700	7939.253286	4443.6168
2705	7939.213938	4443.555733
2710	7939.17349	4443.494133
2715	7939.134142	4443.433333
2720	7939.09507	4443.373067
2725	7939.055171	4443.310933
2730	7939.016098	4443.2504
2735	7938.974823	4443.189867
2740	7938.936025	4443.1288
2745	7938.8964	4443.067467
2750	7938.856226	4443.0064
2755	7938.816326	4442.944267
2760	7938.777802	4442.8832
2765	7938.737076	4442.821867
2770	7938.697451	4442.7608
2775	7938.658101	4442.699733
2780	7938.618476	4442.638933
2785	7938.578575	4442.578133
2790	7938.538398	4442.5168
2795	7938.499873	4442.455467
2800	7938.458871	4442.394933
2805	7938.42117	4442.333333
2810	7938.380718	4442.272533
2815	7938.340266	4442.2112
2820	7938.299538	4442.1488
2825	7938.262662	4442.086933
2830	7938.221934	4442.0256
2835	7938.181481	4441.9648
2840	7938.141853	4441.902667
2845	7938.102225	4441.8408
2850	7938.062872	4441.780267
2855	7938.022968	4441.719733
2860	7937.98389	4441.658933
2865	7937.944261	4441.5976
2870	7937.903531	4441.536267
2875	7937.863626	4441.475467
2880	7937.825373	4441.414933
2885	7937.784918	4441.354133
2890	7937.745288	4441.292
2895	7937.704557	4441.231467
2900	7937.666853	4441.169067
2905	7937.626947	4441.108267
2910	7937.586766	4441.046667
2915	7937.54686	4440.984533
2920	7937.507504	4440.924267
2925	7937.467873	4440.862933
2930	7937.428241	4440.8008
2935	7937.387784	4440.739467
2940	7937.348152	4440.6784
2945	7937.309621	4440.617333
2950	7937.269713	4440.556533
2955	7937.229531	4440.495467
2960	7937.189898	4440.434933
2965	7937.151641	4440.3736
2970	7937.111733	4440.311733
2975	7937.070173	4440.249867
2980	7937.031365	4440.188533
2985	7936.992557	4440.1272
2990	7936.952923	4440.0664
2995	7936.912464	4440.005867
3000	7936.872004	4439.945067
3005	7936.83292	4439.884
3010	7936.794111	4439.8224
